RoutePair,TotalPax,cumulative_pax,cumulative_pct,route_rank
AMRITSAR - SRINAGAR,1042682.0,1187884069.0,87.87568843857584,200
BENGALURU - BHOPAL,1042499.0,1188926568.0,87.95280902610813,201
INDORE - KOLKATA,1038255.0,1189964823.0,88.029615656722,202
BHUJ - MUMBAI,1028662.0,1190993485.0,88.10571262929669,203
HYDERABAD - SHIRDI,1004248.0,1191997733.0,88.18000353584732,204
GUWAHATI - JAIPUR,1000612.0,1192998345.0,88.25402546328502,205
BAGDOGRA - CHENNAI,988672.0,1193987017.0,88.32716410947721,206
DELHI - RAJKOT,982520.0,1194969537.0,88.39984765129569,207
BENGALURU - UDAIPUR,978043.0,1195947580.0,88.47219999963545,208
BENGALURU - HUBLI,976185.0,1196923765.0,88.54441489935257,209
LUCKNOW - PATNA,966285.0,1197890050.0,88.61589743019782,210
GUWAHATI - SILCHAR,959394.0,1198849444.0,88.68687018792224,211
HYDERABAD - SURAT,957244.0,1199806688.0,88.75768389584115,212
PATNA - RANCHI,948886.0,1200755574.0,88.82787930688824,213
AHMEDABAD - PATNA,940191.0,1201695765.0,88.89743149093115,214
CHENNAI - VIJAYAWADA,926873.0,1202622638.0,88.96599845389977,215
AIZAWL - GUWAHATI,915377.0,1203538015.0,89.03371498125716,216
CHENNAI - PATNA,910298.0,1204448313.0,89.10105578119027,217
DELHI - MADURAI,894868.0,1205343181.0,89.16725512135639,218
CHENNAI - VARANASI,889516.0,1206232697.0,89.23305853847178,219
DELHI - KOZHIKODE,889335.0,1207122032.0,89.29884856581283,220
DABOLIM - PUNE,886862.0,1208008894.0,89.36445564888925,221
ALLAHABAD - DELHI,878845.0,1208887739.0,89.42946966113271,222
DELHI - GAYA,870135.0,1209757874.0,89.49383933672225,223
HYDERABAD - MANGALORE,869524.0,1210627398.0,89.55816381257635,224
DABOLIM - KOLKATA,851103.0,1211478501.0,89.62112556449217,225
CHENNAI - INDORE,849360.0,1212327861.0,89.68395837510054,226
BENGALURU - VADODARA,841245.0,1213169106.0,89.74619086516394,227
BELGAUM - BENGALURU,836857.0,1214005963.0,89.80809874567079,228
DABOLIM - SURAT,834008.0,1214839971.0,89.86979586669118,229
JAMNAGAR - MUMBAI,820040.0,1215660011.0,89.93045968181232,230
KANPUR - MUMBAI,801247.0,1216461258.0,89.98973325368,231
DELHI - MANGALORE,798199.0,1217259457.0,90.04878134470712,232
BENGALURU - KANNUR,786444.0,1218045901.0,90.10695984016971,233
KOCHI - KOLKATA,782165.0,1218828066.0,90.164821789531,234
CHANDIGARH - PUNE,780038.0,1219608104.0,90.22252639054982,235
AHMEDABAD - INDORE,778948.0,1220387052.0,90.28015035701607,236
CHENNAI - LUCKNOW,771509.0,1221158561.0,90.33722401115524,237
CHENNAI - KOZHIKODE,754313.0,1221912874.0,90.39302556275697,238
JORHAT - KOLKATA,751671.0,1222664545.0,90.44863166803955,239
DEHRADUN - MUMBAI,749997.0,1223414542.0,90.5041139364038,240
GORAKHPUR - HYDERABAD,749544.0,1224164086.0,90.55956269334389,241
CHANDIGARH - KOLKATA,745345.0,1224909431.0,90.61470082231502,242
BENGALURU - SHIRDI,741467.0,1225650898.0,90.66955206982298,243
