RoutePair,start_year,end_year,cagr_pct,span_years
KOLKATA - RAIPUR,2016.0,2025.0,12.64,9.0
KOLKATA - RANCHI,2016.0,2025.0,10.48,9.0
KOLKATA - SHILLONG,2016.0,2025.0,17.78,9.0
KOLKATA - SILCHAR,2016.0,2025.0,9.06,9.0
KOLKATA - SRINAGAR,2018.0,2025.0,26.88,7.0
KOLKATA - SURAT,2018.0,2025.0,-1.84,7.0
KOLKATA - TRIVANDRUM,2016.0,2023.0,-8.84,7.0
KOLKATA - UDAIPUR,2016.0,2022.0,21.84,6.0
KOLKATA - VARANASI,2016.0,2025.0,14.5,9.0
KOLKATA - VISAKHAPATNAM,2016.0,2025.0,6.43,9.0
KOZHIKODE - MUMBAI,2016.0,2025.0,-4.8,9.0
LEH - SRINAGAR,2016.0,2025.0,-7.27,9.0
LUCKNOW - MUMBAI,2016.0,2025.0,3.98,9.0
LUCKNOW - PATNA,2016.0,2025.0,4.24,9.0
LUCKNOW - PUNE,2016.0,2025.0,20.8,9.0
LUCKNOW - SRINAGAR,2018.0,2024.0,-12.77,6.0
MADURAI - MUMBAI,2016.0,2025.0,13.74,9.0
MANGALORE - MUMBAI,2016.0,2025.0,0.14,9.0
MUMBAI - NAGPUR,2016.0,2025.0,0.47,9.0
MUMBAI - PATNA,2016.0,2025.0,10.57,9.0
MUMBAI - PORBANDAR,2018.0,2025.0,-25.66,7.0
MUMBAI - PUNE,2016.0,2023.0,-5.65,7.0
MUMBAI - RAIPUR,2016.0,2025.0,-1.48,9.0
MUMBAI - RAJKOT,2016.0,2022.0,-3.23,6.0
MUMBAI - RANCHI,2016.0,2025.0,7.55,9.0
MUMBAI - SRINAGAR,2016.0,2025.0,6.33,9.0
MUMBAI - TIRUPATI,2018.0,2025.0,17.9,7.0
MUMBAI - TRIVANDRUM,2016.0,2025.0,0.95,9.0
MUMBAI - UDAIPUR,2016.0,2025.0,0.97,9.0
MUMBAI - VADODARA,2016.0,2025.0,-5.48,9.0
MUMBAI - VARANASI,2016.0,2025.0,9.59,9.0
MUMBAI - VISAKHAPATNAM,2016.0,2025.0,0.41,9.0
NAGPUR - PUNE,2016.0,2025.0,1.6,9.0
PATNA - PUNE,2018.0,2025.0,8.87,7.0
PATNA - RANCHI,2016.0,2025.0,-7.8,9.0
PORT BLAIR - VISAKHAPATNAM,2016.0,2025.0,9.29,9.0
PUNE - TRIVANDRUM,2016.0,2025.0,20.54,9.0
RAIPUR - VISAKHAPATNAM,2016.0,2025.0,16.33,9.0
TIRUPATI - VIJAYAWADA,2018.0,2025.0,3.85,7.0
VIJAYAWADA - VISAKHAPATNAM,2016.0,2025.0,13.92,9.0
